"List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                         STATE            DISTRICT            CITY"
"1-4243471                JAWAHARLAL DARDA INSTITUTE OF ENGINEERING & TECHNOLOGY                 Maharashtra      YAVATMAL            YAVATMAL"
"1-5931571                PRIYADARSHINI BHAGWATI COLLEGE OF ENGINEERING                          Maharashtra      NAGPUR              NAGPUR"
"1-434118461              Y. B. PATIL POLYTECHNIC                                                Maharashtra      PUNE                PUNE"
"1-7101687                SINHGAD INSTITUTE OF BUSINESS MANAGEMENT                               Maharashtra      MUMBAI SUBURBAN     MUMBAI"
"1-462450421              SHREE DATTA POLYTECHNIC COLLEGE                                        Maharashtra      KOLHAPUR            SHIROL"
"1-23345061               INSTITUTE OF MANAGEMENT AND ENTREPRENEURSHIP DEVELOPMENT - MCA PROGRAMME"
"Maharashtra      PUNE                PUNE"
"1-458668021              SHREE SANTKRUPA INSTITUTE OF ENGINEERING & TECHNOLOGY                  Maharashtra      SATARA              GHOGAON"
"1-15125684               GURU NANAK INSTITUTE OF MANAGEMENT STUDIES                             Maharashtra      MUMBAI CITY         MATUNGA"
"1-6594636                PILLAI HOC INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH                Maharashtra      RAIGAD              RASAYANI"
"1-467832381              LATE VASANTDADA POLYTECHNIC                                            Maharashtra      NAGPUR              NAGPUR"
"1-12477141               MANOHARBHAI PATEL INSTITUTE OF PHARMACY, GONDIA                        Maharashtra      GONDIA              GONDIA"
"1-2194159151             DR.D.Y.PATIL PRATISHTHAN'S CO                                          Maharashtra      KOLHAPUR            KOLHAPUR"
"1-475340681              DECCAN EDUCATION SOCIETYS TECHNICAL INSTITUTE                          Maharashtra      PUNE                PUNE"
"1-448618911              JSPM NARHE TECHNICAL CAMPUS                                            Maharashtra      PUNE                PUNE"
"1-2064632551             TRINITY POLYTECHNIC, PUNE                                              Maharashtra      PUNE                PUNE"
"1-2493649991             YASHWANTRAO CHAVAN SCHOOL OF RURAL DEVELOPMENT                         Maharashtra      KOLHAPUR            KOLHAPUR"
"1-2105683921             PADMASHREE DR. D. Y. PATIL B-SCHOOL                                    Maharashtra      PUNE                TATHAWADE"
"1-2183608891             DR. A. D. SHINDE COLLEGE OF ENGINEERING                                Maharashtra      KOLHAPUR            GADHINGLAJ"
"1-461316291              A.I.'S MOHAMMED HAJI SABOO SIDDIK POLYTECHNIC                          Maharashtra      MUMBAI CITY         MUMBAI"
"1-34182281               SHRI SAI COLLEGE OF ENGINEERING                                        Maharashtra      AURANGABAD          AURANGABAD"
"1-4703201                UNIVERSITY OF KALYANI, DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING  West Bengal      NADIA               KALYANI"
"1-522894761              SHRI MUKUNDRAO PANNASE POLYTECHNIC                                     Maharashtra      NAGPUR              HINGNA/NAGPUR"
"1-2489272661             MAULI COLLEGE OF PHARMACY(B.PHARM)                                     Maharashtra      LATUR               UDGIR"
"1-2470241631             INSTITUTE OF MANAGEMENT STUDIES                                        Maharashtra      RATNAGIRI           CHIPLUN"
"1-435547521              VIDYA PRASARAK MANDAL'S POLYTECHNIC, THANE                             Maharashtra      THANE               THANE"
"1-413785501              ST. XAVIER'S TECHNICAL INSTITUTE                                       Maharashtra      MUMBAI CITY         MUMBAI"
"1-1508020141             GOVERNMENT POLYTECHNIC, KENDRAPARA                                     Odisha           KENDRAPARA          CHATRA CHAKADA"
"1-14617111               THE UNIVERSITY OF BURDWAN: MBA(HR) PROGRAMME                           West Bengal      BARDHAMAN           BURDWAN"
"1-10398731               OMDAYAL GROUP OF INSTITUITIONS                                         West Bengal      HOWRAH              ULUBERIA"
"1-7374515                NALANDA INSTITUTE OF TECHNOLOGY                                        Odisha           KHORDHA             BHUBANESWAR"
"1-509534691              IDEAL SCHOOL OF ENGINEERING                                            Odisha           KHORDHA             BHUBANESWAR"
"1-494294081              CENTRAL TOOL ROOM & TRAINING CENTRE                                    West Bengal      NORTH 24 PARGANAS   KOLKATA"
"1-461628791              SHREE RAMKRISHNA INSTITUTE OF SCIENCE & TECHNOLOGY                     West Bengal      SOUTH 24 PARGANAS   KOLKATA"
"1-6116177                SAI TIRUMALA NALABOTHU VENKATA RAO ENGINEERING COLLEGE                 Andhra Pradesh   GUNTUR              GUNTUR"
"1-4169101                ST. ANN'S COLLEGE OF ENGINEERING & TECHNOLOGY                          Andhra Pradesh   PRAKASAM            CHIRALA"
"1-4881161                PULLAREDDY INSTITUTE OF PHARMACY                                       Telangana        MEDAK               HYDERABAD"
"1-5346531                AVANTHI’S SCIENTIFIC TECHNOLOGICAL & RESEARCH ACADEMY                  Telangana        RANGAREDDI          HYDERABAD"
"1-2470954041             RAGHAVENDRA INSTITUTE OF MANAGEMENT SCIENCES (RIMS)                    Andhra Pradesh   ANANTAPUR           ANANTAPUR (R)"
"1-3419951                SAIGANAPATHI ENGINEERING COLLEGE                                       Andhra Pradesh   VISHAKHAPATNAM      GIDIJALA"
"1-9724511                RISHI UBR PG COLLEGE FOR WOMEN                                         Telangana        RANGAREDDI          HYDERABAD"
"1-4296273                MALLA REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES                       Telangana        RANGAREDDI          SECUNDERABAD"
"1-14152622               PULLA REDDY INSTITUTE OF COMPUTER SCIENCE                              Telangana        RANGAREDDI          HYDERABAD"
"1-435919431              THE KAVERY POLYTECHNIC COLLEGE                                         Tamil Nadu       SALEM               METTUR"
"1-7030265                CHAITANYA INSTITUTE OF COMPUTER SCIENCES                               Andhra Pradesh   EAST GODAVARI       KAKINADA"
"1-6423781                PROFESSIONAL GROUP OF INSTITUTIONS                                     Tamil Nadu       TIRUPPUR            KUPPUSAMY NAIDU PURAM, PALLADAM TALUK"
"                                            List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                                STATE                  DISTRICT             CITY"
"1-18501123               SPM'S COLLEGE OF PHARMACY, MALEWADI, SANGOLA ROAD AKLUJ.                      Maharashtra            SOLAPUR              AKLUJ"
"1-434712951              BHAVANI POLYTECHNIC COLLEGE                                                   Tamil Nadu             ERODE                BHAVANI"
"1-479388911              RAJAJI INSTITUTE OF TECHNOLOGY                                                Tamil Nadu             SALEM                SALEM"
"1-3641071                KUMARAGURU COLLEGE OF TECHNOLOGY                                              Tamil Nadu             COIMBATORE           COIMBATORE"
"1-8932081                KARPAGAM INSTITUTE OF TECHNOLOGY                                              Tamil Nadu             COIMBATORE           MADUKKARAI"
"1-441418921              THE CHRISTIAN INSTITUTE FOR TECHNICAL EDUCATION (POLYTECHNIC COLLEGE)         Tamil Nadu             DINDIGUL             ODDANCHATRAM"
"1-788052211              PAD. DR. D. Y. PATIL INSTITUTE OF ENGINEERING, MANAGEMENT & RESEARCH          Maharashtra            PUNE                  PUNE"
"1-7158603                M.A.R. COLLEGE OF ENGINEERING AND TECHNOLOLGY                                 Tamil Nadu             PUDUKKOTTAI          VIRALIMALAI"
"1-403200961              DR.VARSHA PATIL INSTITUTE OF TECHNOLOGY                                       Maharashtra            JALGAON              JALGAON"
"1-431033065              370 PALLAVAN POLYTECHNIC COLLEGE                                              Tamil Nadu             KANCHIPURAM          KANCHIPURAM"
"1-3289821                SSR INSTITUTE OF MANAGEMENT & RESEARCH                                        Dadra and Nagar Haveli DADRA AND NAGAR HAVELI"
"SILVASSA"
"1-7449581                SVKM'S DR. BHANUBEN NANAVATI COLLEGE OF PHARMACY                              Maharashtra            MUMBAI SUBURBAN      MUMBAI"
"1-1630347                SARASWATI COLLEGE OF ENGINEERING, KHARGHAR, NAVI-MUMBAI                       Maharashtra            RAIGAD               NAVI-MUMBAI"
"1-31264821               YASHWANTRAO MOHITE INSTITUTE OF MANAGEMENT (MCA PROGRAMME) KARAD              Maharashtra            SATARA               KARAD"
"1-11578165               COLLEGE OF MANAGEMENT AND COMPUTER SCIENCE, DEPARTMENT OF MANAGEMENT, YAVATMAL."
"Maharashtra            YAVATMAL             YAVATMAL"
"1-456316141              COLLEGE OF ENGINEERING & TECHNOLOGY, NORTH MAHARASHTRA KNOWLEDGE CITY, JALGAONMaharashtra            JALGAON              BAMBHORI"
"1-462834281              G. H. RAISONI POLYTECHNIC                                                     Maharashtra            NAGPUR               NAGPUR"
"1-3103341                VIDYA PRATISHTHANS INSTITUTE OF INFORMATION TECHNOLOGY                        Maharashtra            PUNE                 BARAMATI"
"1-492853671              GOVERNMENT POLYTECHNIC,BRAMHAPURI                                             Maharashtra            CHANDRAPUR           BRAMHAPURI"
"1-448372581              SWAMI VIVEKANAND SANTHA INSTITUTE OF PHARMACY                                 Maharashtra            NASHIK               MALEGAON"
"1-6240581                SINHGAD INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY                   Maharashtra            PUNE                 LONAVALA"
"1-14782151               DR. ASHOK GUJAR TECHNICAL INSTITUTE'S DR. DAULATRAO AHER COLLEGE OF ENGINEERING"
"Maharashtra            SATARA               KARAD"
"1-10497141               NETAJI SUBHASH ENGINEERING COLLEGE                                            West Bengal            KOLKATA              KOLKATA"
"1-463771133              LAL BAHADUR SHASTRI POLYTACHNIC INSTITUTE, TONDAR                             Maharashtra            LATUR                UDGIR"
"1-5433851                SINHGAD BUSINESS SCHOOL                                                       Maharashtra            PUNE                 PUNE"
"1-6154233                SMT. RADHIKATAI PANDAV COLLEGE OF ENGINEERING,                                Maharashtra            NAGPUR               NAGPUR"
"1-6092911                SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING                                    Maharashtra            PUNE                 OTUR"
"1-4830701                NAGPUR INSTITUTE OF TECHNOLOGY                                                Maharashtra            NAGPUR               NAGPUR"
"1-475182883              BAJAJ CHANDRAPUR POLYTECHNIC CHANDRAPUR                                       Maharashtra            CHANDRAPUR           CHANDRAPUR"
